CODE_VALUE;NAME_VALUE;CODE;STARTED;REVOKED;autokey
LIM_11_M_70;"Услуги головных офисов; услуги консультативные в области управления предприятием";LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_M_70
LIM_10_07;Кабардино-Балкарская Республика;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_07
LIM_10_13;Республика Мордовия;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_13
LIM_01_15;Договор;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_15
LIM_05_943;Мозамбикский метикал;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_943
LIM_05_032;Аргентинское песо;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_032
LIM_10_44;Костромская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_44
LIM_05_776;Паанга;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_776
LIM_11_H_49;Услуги сухопутного и трубопроводного транспорта;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_H_49
LIM_10_73;Ульяновская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_73
LIM_05_986;Бразильский реал;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_986
LIM_02_28;Перемена лиц в обязательстве;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_28
LIM_11_E;УСЛУГИ ПО УДАЛЕНИЮ И РЕКУЛЬТИВАЦИИ ОТХОДОВ;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_E
LIM_05_643;Российский рубль;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_643
LIM_11_R_92;Услуги по организации и проведению азартных игр и заключению пари, лотерей;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_R_92
LIM_05_929;Угия;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_929
LIM_05_516;Доллар Намибии;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_516
LIM_05_108;Бурундийский франк;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_108
LIM_11_S_94;Услуги общественных организаций и прочих некоммерческих организаций;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_S_94
LIM_13_E_38;"Услуги по сбору, обработке и удалению отходов; услуги по утилизации отходов";LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_E_38
LIM_10_91;Республика Крым;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_91
LIM_13_C_12;Изделия табачные;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_12
LIM_01_09;Заказ (заявка) на перевозку;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_09
LIM_11_S;ПРОЧИЕ УСЛУГИ;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_S
LIM_05_060;Бермудский доллар;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_060
LIM_05_320;Кетсаль;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_320
LIM_05_934;Новый туркменский манат;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_934
LIM_01_13;Договор фрахтования;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_13
LIM_10_18;Удмуртская Республика;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_18
LIM_05_977;Конвертируемая марка;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_977
LIM_05_980;Гривна;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_980
LIM_01_11;Путевой лист;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_11
LIM_05_975;Болгарский лев;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_975
LIM_10_68;Тамбовская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_68
LIM_10_57;Орловская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_57
LIM_11_C;УСЛУГИ ОБРАБАТЫВАЮЩИХ ПРОИЗВОДСТВ;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_C
LIM_04_01;Сумма с НДС;LIM_04;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_04_01
LIM_13_A_01;Продукция сельского хозяйства и охоты;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_A_01
LIM_11_Q_86;Услуги в области здравоохранения;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_Q_86
LIM_10_38;Иркутская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_38
LIM_10_25;Приморский край;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_25
LIM_10_33;Владимирская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_33
LIM_10_52;Нижегородская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_52
LIM_13_B;ПРОДУКЦИЯ ГОРНОДОБЫВАЮЩИХ ПРОИЗВОДСТВ;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_B
LIM_05_418;Лаосский кип;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_418
LIM_13_T;ТОВАРЫ РАЗЛИЧНЫЕ, ПРОИЗВОДИМЫЕ ДОМАШНИМИ ХОЗЯЙСТВАМИ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_T
LIM_05_728;Южносуданский фунт;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_728
LIM_05_230;Эфиопский быр;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_230
LIM_11_N_77;Услуги по аренде и лизингу;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_N_77
LIM_10_53;Новгородская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_53
LIM_10_26;Ставропольский край;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_26
LIM_13_A_02;Продукция лесоводства, лесозаготовок;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_A_02
LIM_05_222;Сальвадорский колон;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_222
LIM_05_952;Франк КФА ВСЕАО;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_952
LIM_10_89;Ямало-Ненецкий автономный округ;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_89
LIM_02_16;Расчеты ;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_16
LIM_02_27;"Обеспечение исполнения обязательств
";LIM_04;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_27
LIM_05_938;Суданский фунт;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_938
LIM_02_24;Простое товарищество (совместная деятельность);LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_24
LIM_10_35;Вологодская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_35
LIM_05_971;Афгани;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_971
LIM_05_170;Колумбийское песо;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_170
LIM_12_F_42;Строительные работы в области гражданского строительства;LIM_12;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_12_F_42
LIM_13_E_37;"Услуги по водоотведению; шлам сточных вод";LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_E_37
LIM_05_932;Доллар Зимбабве;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_932
LIM_05_188;Коста-риканский колон;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_188
LIM_05_422;Ливанский фунт;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_422
LIM_11_S_96;Услуги персональные прочие;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_S_96
LIM_13_C_32;Изделия готовые прочие;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_32
