CODE;NAME;DESCRIPTION;FORMAT;FLC;STARTED;REVOKED;SPR_VALUE;autokey
LIM_04;Тип суммы;Тип суммы (с НДС\без НДС);varchar(9);;15.08.2023;;Да;POWER_PWR_RESR_LIM_04
LIM_12;Работы;Тип работы, по которой могут осуществляться действия, предусмотренные доверенностью (на основе классификатора ОКПД 2);text;;15.08.2023;;Да;POWER_PWR_RESR_LIM_12
LIM_01;Тип документа;Тип документа, с которым могут осуществляться действия, предусмотренные доверенностью;text;;15.08.2023;;Да;POWER_PWR_RESR_LIM_01
LIM_13;Товары;Тип товара, по которому могут осуществляться действия, предусмотренные доверенностью (на основе классификатора ОКПД 2);text;;15.08.2023;;Да;POWER_PWR_RESR_LIM_13
LIM_10;Территория;"Территория, на которой могут осуществляться действия, предусмотренные доверенностью
";text;;15.08.2023;;Да;POWER_PWR_RESR_LIM_10
LIM_06;Объект;Объект, с которым могут осуществляться действия, предусмотренные доверенностью;varchar(255);;15.08.2023;;Нет;POWER_PWR_RESR_LIM_06
LIM_08;Контрагент;Хозяйствующий субъект, на взаимодействие с которым даны полномочия. Принимает значение в соответствии с ИНН организации;char(10);;15.08.2023;;Нет;POWER_PWR_RESR_LIM_08
LIM_03;Лимит по сумме;Лимит по сумме;integer;;15.08.2023;;Нет;POWER_PWR_RESR_LIM_03
LIM_09;Филиал контрагента;Филиал контрагента, на взаимодействие с которым даны полномочия. Принимает значение в соответствии с КПП филиала;char(9);;15.08.2023;;Нет;POWER_PWR_RESR_LIM_09
LIM_07;Филиал доверителя;Филиал доверителя, на представление которого даны полномочия.  Принимает значение в соответствии с КПП филиала;char(9);;15.08.2023;;Нет;POWER_PWR_RESR_LIM_07
LIM_02;Вид обязательств;Вид обязательства, характеризующий действие, предусмотренное доверенностью;text;;15.08.2023;;Да;POWER_PWR_RESR_LIM_02
LIM_11;Услуги;Тип услуги, по которой могут осуществляться действия, предусмотренные доверенностью (на основе классификатора ОКПД 2);text;;15.08.2023;;Да;POWER_PWR_RESR_LIM_11
LIM_05;Тип валюты;Валюта;text;;15.08.2023;;Да;POWER_PWR_RESR_LIM_05
LIM_14;Характеристика услуги\работы\товара;Дополнительная характеристика услуги\работы\товара, по которым могут осуществляться действия, предусмотренные доверенностью (заполняется кодами по классификатору ОКПД 2);varchar(12);;15.08.2023;;Нет;POWER_PWR_RESR_LIM_14
